eye: pie, oca, asta, cola, gota
ear: hornear, ayer, eso, meter, verter
nose: nido, nudo, nube, nadar, nuevo
mouth: animal, meter, grave, ayer, once
tooth: toalla, orilla, muchacho, menear, hornear
tongue: tintinear, tía, taza, tumba, tío
lip: meter, oler, ayer, pez, pie
cheek: pecho, irse, oveja, bigote, gancho
face: meter, pie, grave, once, idea
forehead: hornear, revolver, multicolor, muchacho, longitud
hair: animal, ayer, eso, meter, pie
moustache: marcharse, marcha, morder, madera, manta
beard: beber, muchacho, menear, muchacha, oveja
chin: oler, irse, ayer, tan, asar
jaw: placer, ayer, eso, meter, irse
throat: animal, meter, grave, verter, ayer
neck: meter, ayer, verter, animal, eso
nape: nube, nido, nudo, nadar, norte
head: meter, animal, oca, cola, ayer
back: ayer, meter, once, eso, irse
spine: pluma, moverse, prado, impeler, pieza
belly: menear, hornear, helada, caliente, bigote
navel: revolver, padres, tapadera, padre, multicolor
bosom: bosque, menear, lonja, mosca, hornear
chest: meter, animal, eso, pie, ayer
breast: irse, liebre, trepar, reptar, hornear
shoulder: muchacho, menear, once, padres, mayo
arm: meter, oca, eso, irse, ayer
elbow: ellos, rodilla, delgado, caliente, helada
hand: animal, meter, pie, red, ayer
palm: pino, paso, pala, pender, pueblo
finger: meter, ayer, pie, animal, eso
fingernail: fresco, felicidad, frotar, fusil, fuego
nail: nadar, nido, nudo, nube, nacer
toe: toalla, orilla, oca, noventa, no
foot: meter, animal, eso, ayer, grave
heel: ayer, meter, eso, verter, irse
knee: hilo, jefe, diente, hongo, madera
thigh: hornear, revolver, zorro, menear, ayer
leg: meter, verter, ayer, eso, oler
body: animal, oca, cola, meter, idea
skin: animal, eso, meter, oca, cola
blood: animal, red, grave, meter, eso
vein: veinte, oveja, ave, irse, poseer
sinew: sin filo, coser, gancho, tan, lonja
bone: grave, pie, animal, bote, meter
brain: animal, meter, eso, ayer, pie
heart: animal, ayer, meter, eso, grave
stomach: revolver, menear, hornear, hurtar, tomar
liver: llover, lamer, lazo, largo, luz
breath: irse, trepar, reptar, liebre, rebanada
hunger: hambre, hilo, hongo, huevo, hombre
tear: techo, teñir, irse, pecho, peinar
flavour: fluir, flor, multicolor, revolver, crudo
odour: ayer, vidrio, poseer, meter, arder
sleep: animal, meter, eso, ayer, pie
dream: ayer, irse, eso, meter, idea
sky: rey, irse, ayer, eso, asta
sun: irse, ayer, eso, meter, sol
moon: ayer, meter, irse, pie, animal
star: dar, ayer, irse, meter, asar
air: aire, meter, animal, placer, eso
wind: meter, animal, ayer, red, eso
wave: pie, meter, grave, cola, idea
water: animal, meter, placer, pie, ayer
stone: placer, grave, animal, pie, asta
soil: soporte, muchacho, soportar, once, oreja
ground: meter, animal, red, pie, grave
earth: animal, eso, ayer, meter, grave
dust: meter, placer, animal, eso, ayer
smoke: revolver, pie, zorro, jefe, irse
spark: meter, asar, oca, ayer, cola
fire: animal, meter, grave, red, pie
light: meter, animal, idea, eso, ayer
shadow: ayer, eso, meter, irse, animal
weather: ayer, meter, oca, asta, irse
fog: fresco, fuego, foso, fregar, fino
cloud: meter, oca, idea, pie, animal
rain: meter, ayer, irse, eso, once
snow: ayer, meter, irse, rey, eso
ice: pie, grave, eso, oca, meter
frost: fresco, fuego, foso, fregar, fino
chill: chico, chica, chispear, chispa, zorro
heat: meter, animal, cola, pie, mono
hoarfrost: hoja, ganso, gusano, hongo, rojo
rainbow: bigote, revolver, multicolor, redondo, menear
thunder: zorro, revolver, ayer, menear, hornear
current: final, oca, no, meter, idea
drop: meter, eso, final, once, ayer
foam: cola, nuca, oca, foso, trazo
dirt: diente, dios, dolor, doler, dormir
lake: gota, rico, raya, asta, familia
swamp: zorro, revolver, maduro, hornear, bigote
moor: mojado, mostrar, rico, hongo, oca
meadow: mejilla, bigote, menear, oveja, bandada
forest: animal, ayer, oca, meter, irse
hill: ayer, irse, animal, eso, meter
elevation: echar, elegir, oca, idea, asta
mountain: bigote, montaña, redondo, caliente, caldera
summit: sumergirse, padres, revolver, prometer, ayer
cave: caverna, cuna, cuesta, cruz, codo
slope: meter, pie, grave, cola, idea
source: todo, idea, meter, final, error
brook: ayer, rey, irse, eso, rico
river: ayer, meter, placer, gota, irse
shore: ayer, meter, irse, eso, grave
coast: oca, coleccionar, rojo, costado, tronco
land: ayer, animal, meter, placer, irse
sea: cola, oca, asta, gota, asa
cove: cuna, coger, cruz, codo, cima
island: isla, muchacho, menear, orilla, caliente
flower: animal, pie, ayer, grave, meter
grass: animal, meter, red, ayer, grave
root: tabla, meter, todo, oca, cola
tree: pie, animal, cola, oca, grave
trunk: trazo, tragar, trampa, trabajo, triste
bark: baya, bello, bajo, bota, bajar
limb: limpio, limpiar, prometer, impeler, meter
branch: oca, meter, ayer, idea, eso
leaf: animal, pie, meter, ayer, cola
birch: firme, ayer, hornear, barullo, azul
pine: pie, grave, oca, red, cola
willow: menear, muchacho, mayo, ayer, hornear
fir: firme, ir, irse, ayer, asar
horn: hornear, ayer, meter, irse, verter
feather: febrero, pieza, firme, maestro, pecho
fur: ayer, oler, irse, pez, asar
wing: ayer, meter, irse, rey, eso
claw: clavo, clase, revolver, zorro, hornear
tail: meter, pie, animal, verter, ayer
egg: pie, animal, cola, meter, ayer
nest: meter, ayer, oca, irse, idea
lair: llover, lamer, lazo, luz, luego
animal: animal, eso, ayer, grave, meter
flock: foso, fresco, fuego, fregar, fino
cow: animal, ayer, pie, irse, rey
bull: ayer, hornear, irse, animal, pez
horse: animal, grave, pie, irse, meter
sheep: menear, oveja, muchacho, bandada, irse
pig: animal, ayer, pie, meter, irse
dog: animal, ayer, pie, irse, pez
cat: animal, ayer, oca, meter, ratón
bear: animal, ayer, hornear, menear, irse
squirrel: sauce, sopa, saber, silla, sordo
elk: ellos, helada, jefe, caliente, azul
fox: ayer, irse, eso, oca, animal
hare: irse, ayer, meter, rey, gota
mouse: animal, meter, pie, cola, mono
wolf: animal, ayer, irse, rey, rico
bird: animal, ayer, grave, eso, irse
swarm: oscuro, revolver, prometer, zorro, ascender
chicken: chico, chica, chispa, chispear, madurar
cock: ayer, irse, rey, eso, hornear
goose: bigote, cueva, muchacho, tronco, tapadera
eagle: echar, elegir, oca, asta, madera
duck: animal, ayer, irse, pez, meter
owl: animal, ayer, irse, oca, eso
crane: crudo, prado, trineo, tronco, grulla
crow: ayer, irse, rey, eso, pez
cuckoo: caverna, cabello, cuchara, coger, cuchillo
swan: zorro, menear, hornear, revolver, irse
fish: animal, ayer, meter, pie, irse
perch: percha, perca, perro, perder, revolver
pike: oca, irse, todo, asar, pie
snake: animal, pie, grave, cola, meter
worm: animal, meter, ayer, pie, verter
spider: revolver, impeler, zorro, oscuro, tapadera
ant: antiguo, eso, oler, irse, atar
louse: llover, lamer, lazo, largo, luna
midge: manta, madera, morder, muelle, manga
fly: meter, ayer, irse, eso, animal
butterfly: bello, baya, barrer, brazo, boca
berry: ayer, rey, oca, rico, pie
apple: oca, pie, cola, ayer, meter
mushroom: mango, marcharse, madera, marcha, morder
onion: muchacho, ayer, meter, pasto, multicolor
seed: animal, meter, oca, cola, ayer
grain: grano, grasa, gritar, grulla, grande
hay: ayer, rey, irse, oler, eso
husk: muslo, hornear, humear, menear, ayer
pit: ayer, meter, oler, eso, pez
trap: meter, ayer, verter, once, eso
noose: no, noventa, noche, muchacho, bigote
track: meter, idea, ayer, oca, eso
ashes: ayer, irse, once, eso, oca
filth: afilado, polvo, revolver, helada, menear
iron: placer, red, animal, meter, eso
gold: placer, red, ayer, animal, oreja
silver: red, placer, ayer, redondo, meter
coal: placer, animal, oreja, eso, sol
glass: meter, red, fabricar, placer, animal
clay: clavo, clase, caliente, fluir, multicolor
sand: placer, meter, ayer, animal, pez
human: animal, eso, no, familia, meter
man: mano, manzana, menear, manantial, ayer
woman: menear, animal, eso, mano, once
child: animal, eso, once, ayer, grave
boy: rey, ayer, menear, irse, animal
girl: menear, animal, ayer, once, irse
family: animal, familia, ayer, oca, irse
grandfather: bigote, maduro, muchacho, redondo, ayer
grandmother: bigote, maduro, menear, muchacho, hermana
parents: once, oca, ayer, menear, idea
father: ayer, rico, once, rey, irse
mother: ayer, once, eso, irse, rey
son: sonido, sonar, ayer, oler, irse
daughter: ayer, once, raya, irse, familia
brother: robar, rojo, menear, revolver, ayer
sister: saber, sopa, sauce, silla, sordo
uncle: bigote, menear, maduro, cesar, muchacho
aunt: aún, afluir, a veces, año, hermana
husband: menear, ayer, humear, muslo, mentira
wife: raya, once, ayer, rico, gota
joy: rey, ayer, irse, rico, eso
laughter: ayer, irse, eso, once, animal
happiness: hilo, hambre, hongo, hombre, huevo
grief: ganas, gusto, gato, ganso, gusano
wish: once, ayer, eso, irse, oca
desire: después, desear, desgracia, despertar, despertarse
spirit: ayer, animal, meter, irse, eso
thought: once, idea, meter, eso, ayer
memory: meter, idea, memoria, cola, animal
mind: ayer, meter, eso, once, irse
meaning: once, idea, ayer, eso, meter
reason: once, ayer, eso, idea, meter
truth: ayer, once, irse, eso, meter
talk: irse, oca, meter, ayer, idea
fairy tale: fresco, fuego, famoso, foso, fregar
story: ayer, idea, irse, oca, meter
message: error, todo, mensaje, idea, recordar
news: oca, idea, asa, abajo, irse
name: tabla, todo, nombre, cola, final
puzzle: pino, poder, pato, paso, pueblo
speech: meter, animal, idea, eso, ayer
language: idea, todo, oca, animal, tabla
voice: idea, oca, pie, meter, eso
word: meter, ayer, animal, idea, cola
sign: significado, eso, meter, once, idea
call: idea, meter, final, oca, ayer
noise: pie, meter, cola, idea, grave
sound: meter, animal, idea, eso, ayer
tone: pie, meter, irse, bote, ayer
song: ayer, meter, once, irse, pie
calm: calma, caliente, caldera, calor, caluroso
people: once, menear, ayer, oca, idea
nation: ayer, oca, irse, meter, once
work: meter, idea, ayer, once, oca
guest: oca, ayer, irse, asta, idea
gift: ayer, oca, idea, meter, irse
game: todo, cola, pie, tabla, oca
company: oca, idea, asta, eso, ayer
help: error, idea, oca, meter, todo
friend: ayer, once, irse, oca, meter
companion: comer, comida, comarca, comprar, comprender
matter: meter, ayer, verter, once, eso
count: meter, correcto, tabla, once, vara
sort: meter, vara, final, ayer, verter
piece: meter, pie, ayer, idea, once
part: parte, partir, participar, eso, meter
half: once, meter, eso, red, ayer
circle: meter, pie, ayer, idea, cola
cross: meter, animal, eso, ayer, irse
line: meter, pie, cola, idea, oca
stroke: pie, animal, meter, grave, oca
gap: meter, ayer, oca, eso, asar
distance: meter, idea, oca, cola, tabla
area: arena, oca, idea, cola, asta
space: meter, grave, oca, pie, irse
place: once, oca, idea, meter, ayer
side: pie, meter, grave, idea, oca
middle: ayer, meter, irse, eso, oca
item: meter, todo, oca, idea, cola
thing: once, ayer, meter, verter, irse
fringe: frío, frontera, crudo, prado, trampa
edge: meter, idea, pie, oca, cola
corner: meter, red, ayer, idea, animal
tip: meter, ayer, pie, oca, irse
end: meter, verter, eso, once, no
hole: meter, pie, ayer, grave, animal
angle: meter, tabla, pie, cola, error
pattern: idea, meter, cola, tabla, todo
size: meter, cola, tabla, idea, pie
length: meter, correcto, vara, final, cola
height: meter, tabla, cola, idea, final
weight: meter, cola, idea, ayer, animal
amount: once, meter, oca, cola, correcto
heap: meter, todo, cola, tabla, oca
row: meter, ayer, cola, tabla, oca
boat: animal, meter, ayer, oca, caro
oar: oeste, o, ojo, ocho, oír
sleigh: silla, sauce, saber, sopa, sordo
ski: asta, oca, gota, asa, raya
campfire: caliente, bigote, barullo, muchacho, bandada
load: final, error, tabla, todo, seta
walk: meter, ayer, irse, once, oca
step: meter, ayer, eso, once, pie
north: ayer, red, irse, rey, asta
south: ayer, irse, red, rey, asta
west: ayer, irse, rey, asta, rico
