eye: face, tube, altitude, plier, roi
ear: plier, pain, poser, face, vent
nose: nager, nous, nuit, nord, narration
mouth: plier, face, pain, cause, animal
tooth: toit, orner, canard, plier, cause
tongue: talon, trembler, tendre, tissu, tournant
lip: plier, face, lit, poser, vent
cheek: cheval, cheveu, jambe, manche, joie
face: face, poser, place, force, tube
forehead: plier, face, pain, oreille, grimper
hair: plier, ombre, pain, face, animal
moustache: moustache, moucheron, mousse, marmite, manger
beard: beau, beurre, herbe, moustache, plier
chin: poser, rire, chant, seau, plier
jaw: plier, placer, sale, vent, poser
throat: pain, plier, face, altitude, tube
neck: plier, face, pain, front, tube
nape: nager, nous, narration, nuit, nord
head: face, front, terrain, plier, correct
back: front, plier, face, place, bout
spine: plume, poser, pointu, face, tube
belly: grimper, brochet, bonnet, pelure, plier
navel: poser, plier, botter, rivage, envie
bosom: grimper, poser, botter, menton, blessure
chest: plier, pain, face, tube, vent
breast: rester, brochet, plier, pain, cerveau
shoulder: canard, plier, cause, canot, correct
arm: plier, poser, orient, face, changer
elbow: plier, poser, jeter, ruban, soleil
hand: plier, face, pain, animal, tube
palm: prier, pierre, penser, papillon, pied
finger: plier, face, poser, tube, altitude
fingernail: fendre, fameux, fumée, frotter, fondre
nail: nager, nous, nuit, nord, narration
toe: toit, orner, prise, doigt, seau
foot: plier, face, front, pain, poser
heel: plier, face, poser, pain, vent
knee: tendon, talon, plier, mousse, manger
thigh: thé, plier, moustache, poser, ruban
leg: plier, poser, vent, ton, lever
body: figure, terrain, face, poser, conversation
skin: pain, face, plier, animal, poser
blood: pain, animal, plier, combat, altitude
vein: veine, plier, seau, tube, poser
sinew: poser, plier, chanter, puissant, ruban
bone: tube, face, plier, grave, altitude
brain: pain, face, plier, animal, poser
heart: plier, face, pain, animal, altitude
stomach: estomac, moustache, goutte, trembler, jeter
liver: lisse, lancer, laver, laine, lacs
breath: rester, poser, rire, brochet, blessure
hunger: hiver, hôte, hurler, haleine, huit
tear: teindre, veine, rire, seau, rame
flavour: flamber, plume, flèche, poser, glaise
odour: odeur, poser, plier, seau, milieu
sleep: pain, altitude, conversation, poser, plier
dream: poser, conversation, chant, plier, orient
sky: poser, rire, plier, roi, altitude
sun: plier, poser, rire, altitude, pain
moon: poser, plier, mars, altitude, rire
star: poser, plier, coin, sale, place
air: air, plier, tube, animal, clair
wind: terrain, plier, altitude, pain, vent
wave: tube, force, altitude, charge, face
water: air, tube, altitude, animal, plier
stone: large, tube, plier, placer, grave
soil: soir, cause, soirée, plier, noir
ground: tube, large, plier, terrain, face
earth: animal, mars, altitude, terrain, plier
dust: plier, pain, poser, tube, vent
smoke: poser, plume, mousse, moustache, manger
spark: poser, filer, changer, trace, roi
fire: combat, plier, pain, poser, animal
light: altitude, large, plier, force, poser
shadow: poser, plier, terrain, second, force
weather: terrain, altitude, poser, sale, distance
fog: froid, fuir, faim, fleur, fumer
cloud: terrain, poser, commerce, roi, chat
rain: pain, plier, poser, altitude, sale
snow: pain, six, plier, altitude, sale
ice: tube, altitude, plier, face, poser
frost: froid, fuir, fleur, faim, fumer
chill: chaleur, chasser, chanson, chien, chagrin
heat: charge, force, altitude, tube, pain
hoarfrost: fameux, haleine, givre, joie, fendre
rainbow: grimper, fourmi, poser, plier, noir
thunder: thé, jeter, grimper, poser, talon
current: correct, second, force, distance, altitude
drop: correct, force, poser, place, changer
foam: foin, foie, poser, tube, terrain
dirt: duper, dix, dieu, doux, dormir
lake: seau, ville, ski, fort, porter
swamp: grimper, jeter, poser, marcher, gorge
moor: mois, moi, moitié, joie, mouche
meadow: rameau, calme, jambe, joie, grimper
forest: terrain, animal, altitude, poser, plier
hill: plier, porter, poser, ville, altitude
elevation: eau, altitude, roi, route, distance
mountain: montagne, grandeur, grimper, saveur, fourmi
summit: pointu, poser, orient, rivage, sommet
cave: cime, cuisse, croc, caverne, cacher
slope: altitude, distance, terrain, tube, force
source: source, route, message, trace, filer
brook: clair, rire, ville, plier, poser
river: plier, poser, terrain, altitude, rire
shore: plier, altitude, rire, terrain, poser
coast: coq, cochon, racine, croix, seau
land: terrain, profit, plier, animal, sale
sea: tube, altitude, ski, large, roi
cove: cuisse, cime, croc, cacher, cœur
island: canard, boutique, noir, saveur, toit
flower: plier, animal, poser, face, large
grass: plier, terrain, animal, altitude, tube
root: route, trace, correct, main, terrain
tree: tube, face, altitude, terrain, route
trunk: tranche, travail, trancher, trouver, tranchant
bark: bord, blessure, battre, bête, brouillard
limb: plier, poser, seau, blessure, cerveau
branch: place, route, correct, poser, force
leaf: plier, face, poser, tube, animal
birch: balayer, bonnet, rire, hibou, ruban
pine: tube, large, plier, altitude, porter
willow: canard, canot, canne, orner, toit
fir: poser, rire, seau, plier, ramer
horn: plier, poser, vent, seau, ton
