eye: ו, ים, יד, הר, מה
ear: ו, ים, יד, הר, מר
nose: ו, ים, הר, יד, מי
mouth: ו, ים, יד, הר, מה
tooth: ו, ים, הר, יד, לא
tongue: ו, ים, יד, קו, הר
lip: ו, ים, יד, הר, מת
cheek: ו, ים, יד, הר, קו
face: ו, ים, יד, הר, נע
forehead: ו, ים, הר, יד, בא
hair: ו, ים, יד, הר, מה
moustache: ו, ים, הר, יד, מת
beard: ו, ים, יד, הר, בא
chin: ו, ים, יד, הר, מר
jaw: ו, ים, יד, הר, נע
throat: ו, ים, יד, הר, בא
neck: ו, ים, יד, הר, בא
nape: ו, ים, הר, נע, יד
head: ו, ים, יד, הר, מת
back: ו, ים, הר, יד, לה
spine: ו, ים, יד, הר, מת
belly: ו, ים, יד, הר, לא
navel: ו, ים, יד, הר, לה
bosom: ו, ים, יד, הר, מר
chest: ו, ים, יד, הר, מת
breast: ו, ים, יד, הר, בא
shoulder: ו, ים, יד, הר, קו
arm: ו, ים, יד, הר, מת
elbow: ו, ים, הר, יד, אל
hand: ו, ים, יד, הר, נע
palm: ו, ים, יד, מת, הר
finger: ו, ים, יד, הר, מה
fingernail: ו, קו, ים, הר, גל
nail: ו, ים, הר, יד, מה
toe: ו, ים, יד, הר, לה
foot: ו, ים, יד, הר, מת
heel: ו, ים, יד, הר, מה
knee: ו, ים, יד, הר, בא
thigh: ו, ים, יד, הר, מת
leg: ו, יד, ים, הר, מת
body: ו, ים, יד, הר, נע
skin: ו, ים, יד, הר, מה
blood: ו, ים, יד, הר, בא
vein: ו, ים, יד, הר, נע
sinew: ו, ים, נע, יד, לב
bone: ו, ים, יד, הר, מה
brain: ו, ים, יד, הר, בא
heart: ו, ים, יד, הר, בא
stomach: ו, ים, הר, קו, מת
liver: ו, ים, הר, לה, לא
breath: ו, ים, יד, הר, קו
hunger: ו, ים, הר, יד, מה
tear: ו, ים, יד, הר, מה
flavour: ו, ים, הר, יד, מת
odour: ו, ים, הר, יד, בא
sleep: ו, ים, יד, הר, מה
dream: ו, ים, יד, הר, מר
sky: ו, ים, יד, הר, מה
sun: ו, ים, יד, הר, בא
moon: ו, ים, יד, הר, מה
star: ו, ים, יד, הר, מר
air: ו, ים, יד, הר, מר
wind: ו, ים, יד, הר, מת
wave: ו, ים, יד, הר, מה
water: ו, ים, יד, הר, בא
stone: ו, ים, יד, הר, בא
soil: ו, ים, יד, הר, מה
ground: ו, ים, יד, הר, רע
earth: ו, ים, יד, הר, מה
dust: ו, ים, יד, הר, מה
smoke: ו, ים, יד, הר, מת
spark: ו, ים, יד, הר, נע
fire: ו, ים, יד, הר, מה
light: ו, ים, יד, הר, בא
shadow: ו, ים, יד, הר, מת
weather: ו, ים, יד, הר, מה
fog: ו, ים, הר, קו, מי
cloud: ו, ים, יד, הר, לה
rain: ו, ים, יד, הר, נע
snow: ו, ים, הר, יד, מי
ice: ו, ים, יד, הר, מה
frost: ו, ים, הר, יד, מת
chill: ו, ים, הר, יד, קו
heat: ו, ים, יד, הר, מת
hoarfrost: ו, ים, נע, הר, קו
rainbow: ו, ים, יד, הר, נע
thunder: ו, ים, הר, מת, יד
current: ו, ים, יד, הר, לה
drop: ו, ים, יד, הר, מת
foam: ו, ים, מת, הר, יד
dirt: ו, ים, יד, הר, מת
lake: ו, ים, יד, הר, מה
swamp: ו, ים, הר, יד, מה
moor: ו, ים, הר, יד, מת
meadow: ו, ים, הר, מה, בא
