eye: 耳, 唇, そして, こちら, 歯
ear: 耳, そして, こちら, 像, 先生
nose: 鼻, そして, 先生, 唇, 部分
mouth: 口, 唇, 歯, そして, 舌
tooth: -と, -たい, 歯, 像, そして
tongue: -と, -たい, 舌, 先生, 襟
lip: 唇, そして, 部分, 像, 舌
cheek: 先生, そして, -と, 理由, -たい
face: 顔, 衣服, そして, 唇, 部分
forehead: する, -と, 衣服, 理由, そして
hair: 髪, 衣服, そして, する, 先生
moustache: -と, -たい, そして, 先生, 像
beard: そして, -と, 先生, 像, 衣服
chin: そして, 先生, 像, 部分, 岸
jaw: そして, 部分, 像, 先生, まず
throat: 胸, 唇, 歯, 鼻, そして
neck: 胸, 肩, 衣服, 唇, そして
nape: -と, -たい, そして, 部分, 場所
head: 頭, そして, 部分, まず, 先生
back: 部分, こちら, 場所, そして, 像
spine: 蜘蛛, 部分, 衣服, 街道, 理由
belly: 先生, そして, 衣服, する, 像
navel: 衣服, 蜘蛛, 理由, 先生, -と
bosom: 理由, 衣服, -と, 先生, する
chest: 胸, そして, 衣服, 唇, 腹
breast: 胸, そして, 先生, 歯, 理由
shoulder: 肩, -と, 像, -たい, そして
arm: 部分, 腕, そして, 像, まず
elbow: そして, -と, こちら, 像, まず
hand: 手, そして, 衣服, 先生, 像
palm: そして, 理由, 部分, 先生, まず
finger: そして, 唇, 像, 指, 衣服
fingernail: -と, -たい, 襟, 像, 茸
nail: そして, 歯, -と, 衣服, こちら
toe: -と, -たい, そして, 像, こちら
foot: 足, そして, 唇, 像, 部分
heel: そして, 唇, 先生, 歯, 像
knee: そして, 先生, 胸, 理由, 衣服
thigh: そして, 衣服, -と, 先生, 胸
leg: そして, まず, 部分, 先生, 唇
body: 体, 部分, そして, 理由, 衣服
skin: 衣服, そして, 唇, 部分, こちら
blood: 血, そして, 衣服, する, 部分
vein: -と, 街道, 件, 理由, そして
sinew: 理由, する, -と, 罪, そして
bone: 骨, 歯, する, 衣服, そして
brain: そして, 像, 部分, する, 先生
heart: 心, そして, 像, 衣服, 先生
stomach: 胸, -と, 理由, 先生, 像
liver: そして, 理由, -と, 先生, する
breath: そして, 理由, 先生, -と, 部分
hunger: 理由, そして, 先生, 衣服, 部分
tear: そして, -と, 像, 理由, 先生
flavour: そして, 理由, 像, -と, 部分
odour: 像, -と, 部分, 衣服, 理由
sleep: する, 理由, 衣服, 生活, 部分
dream: 夢, そして, 像, 部分, こちら
sky: そして, 部分, 像, こちら, 街道
sun: そして, 像, する, 先生, 街道
moon: そして, 像, 先生, する, 蜘蛛
star: 像, 星, こちら, そして, まず
air: 空, そして, こちら, 部分, まず
wind: 風, そして, 部分, する, 先生
wave: 部分, そして, 理由, 先生, 像
water: 水, する, 衣服, 部分, 街道
stone: 石, する, そして, 衣服, 街道
soil: -と, 像, -たい, 衣服, 土
ground: そして, 部分, する, 街道, まず
earth: そして, 部分, する, 像, こちら
dust: 衣服, 部分, そして, 蜘蛛, 像
smoke: 煙, 部分, 衣服, そして, 理由
spark: 部分, 蜘蛛, 像, 理由, 希望
fire: 火, そして, 像, 衣服, する
light: そして, 像, 光, まず, 部分
shadow: 像, そして, 部分, 蜘蛛, まず
weather: 距離, こちら, 場所, 部分, 街道
fog: 理由, 部分, そして, 像, -と
cloud: 雲, 部分, 像, そして, まず
rain: 雨, そして, こちら, 像, 衣服
snow: そして, こちら, 像, まず, まだ
ice: そして, こちら, 衣服, 部分, 先生
frost: 理由, そして, -と, 部分, 像
chill: そして, 像, 先生, 理由, 高い
heat: 熱, そして, 部分, 街道, する
hoarfrost: -と, -たい, 理由, 先生, そして
rainbow: -と, 衣服, -たい, 像, 雨
thunder: そして, -と, 理由, 像, 先生
current: 部分, こちら, まず, 街道, そして
drop: 像, 部分, そして, まず, こちら
foam: 街道, 狐, 部分, 蜘蛛, 衣服
dirt: そして, 理由, 部分, 先生, 衣服
lake: 湖, 像, 先生, 岸, 湾
swamp: 像, そして, 部分, 先生, こちら
moor: そして, こちら, 先生, -と, もう
meadow: 先生, そして, -と, 理由, 像
forest: そして, 部分, 森, 街道, 像
hill: 先生, そして, 岸, 街道, 山
elevation: -と, 理由, 街道, 場所, 距離
mountain: 山, 像, -と, そして, 先生
summit: 部分, 街道, 理由, 先生, そして
cave: 理由, そして, 先生, 部分, まず
slope: 理由, する, 距離, 場所, 街道
source: 部分, 像, 場所, 理由, まず
brook: 像, 先生, そして, 部分, 岸
river: そして, 川, 像, 湾, こちら
shore: 岸, 像, そして, 街道, まず
coast: 街道, そして, -と, こちら, 岸
land: 土地, 陸, 街道, そして, 部分
sea: 海, そして, 蜘蛛, こちら, 像
cove: 理由, そして, -と, -たい, 先生
island: -と, -たい, 像, こちら, 部分
flower: 衣服, 花, そして, する, 先生
grass: 草, する, そして, 衣服, 先生
root: 根, 部分, 街道, 像, 理由
tree: 衣服, 蜘蛛, 部分, する, 街道
trunk: 理由, そして, 部分, 先生, 像
bark: そして, 理由, する, 衣服, 先生
limb: 先生, 理由, 唇, そして, 衣服
branch: 部分, 街道, 場所, 距離, こちら
leaf: 衣服, 葉, 部分, そして, 蜘蛛
birch: する, 先生, 岸, 像, そして
pine: 湾, そして, 棚, 木, 革
willow: -と, 像, -たい, 樅, そして
fir: そして, こちら, 先生, まず, 像
horn: そして, 像, 部分, 先生, する
feather: 先生, -と, そして, 理由, 衣服
fur: 衣服, する, そして, 像, こちら
wing: そして, 像, 先生, 衣服, 部分
claw: そして, 理由, 先生, 部分, 像
tail: 部分, そして, 像, 理由, する
egg: 衣服, そして, 肉, する, 理由
nest: 像, そして, 部分, まず, 蜘蛛
lair: -と, 理由, そして, -たい, 先生
animal: 部分, 猫, 蜘蛛, する, 犬
flock: 理由, 部分, そして, -と, 街道
cow: 牛, 羊, 衣服, そして, 猫
bull: 牛, そして, 像, 先生, 部分
horse: 衣服, 犬, 先生, 猫, そして
