eye: stem, zee, lip, worm, door
ear: roken, heet, stem, oor, door
nose: nog, negen, nemen, nacht, niet
mouth: hand, worm, stem, roken, heet
tooth: toon, toen, toenemen, heet, noemen
tongue: tong, tien, tillen, tellen, tijding
lip: lip, heet, stem, kip, nut
cheek: meester, cadeau, nevel, leggen, noemen
face: stem, letter, heet, ring, roken
forehead: overal, handvat, stem, heet, roken
hair: beer, stem, winter, worm, door
moustache: muts, midden, mouw, mug, muis
beard: beven, beek, bezem, beheersen, bevriezen
chin: kin, roken, dan, alom, pees
jaw: heet, roken, stem, ring, worm
throat: worm, stem, heet, hand, ring
neck: hand, stem, worm, heet, ring
nape: nemen, negen, nog, nacht, niet
head: stem, pad, heet, boot, worm
back: top, roken, stem, brief, heet
spine: spoor, spelen, spiegel, spits, spel
belly: beloven, melken, leggen, rinkelen, handvat
navel: navel, rinkelen, pad, stem, worden
bosom: bos, rinkelen, roken, inslapen, stroming
chest: heet, worm, stem, ring, bed
breast: breien, brengen, breed, breken, streep
shoulder: willen, overal, blind, stem, roken
arm: arm, boot, stem, pad, heet
elbow: lepel, cadeau, roken, melken, eiland
hand: hand, handvat, handig, handpalm, handdoek
palm: punt, pap, pantalon, prikken, puntig
finger: worm, hand, stem, ring, beer
fingernail: familie, buidel, toedekken, bruisen, gierig
nail: nog, negen, nemen, nacht, niet
toe: toevoegen, toen, toon, toenemen, noemen
foot: hand, stem, heet, worm, boot
heel: heet, lip, stem, roken, door
knee: knoop, knie, koe, komen, kammen
thigh: thans, leggen, handvat, roken, heet
leg: leggen, heet, lip, arm, roken
body: stem, heet, bot, letter, boot
skin: stem, beer, worm, lip, roken
blood: water, beer, stem, worm, blind
vein: veen, vegen, veer, veertig, meester
sinew: kin, rinkelen, roken, noemen, slapen
bone: stem, worm, ring, water, hand
brain: stem, worm, beer, blind, ring
heart: stem, hart, beer, blind, heet
stomach: strop, stang, stier, stoten, stelen
liver: ladder, lief, luis, lachen, lui
breath: breien, brengen, breed, breken, redden
hunger: helling, honing, heden, houden, hals
tear: teken, tehuis, tegelijk, tekenen, tevergeefs
flavour: fluiten, slim, slank, plank, slapen
odour: heet, ingaan, lopen, ademen, roken
sleep: week, brief, stem, worm, beer
dream: boom, roken, blind, worm, stem
sky: boom, beer, roken, zee, winter
sun: roken, beer, wang, wind, winter
moon: roken, beer, boom, worm, winter
star: roken, door, beer, top, stem
air: water, wind, beer, winter, boom
wind: wind, worm, water, boom, land
wave: ring, wind, stem, worm, heet
water: water, beer, winter, wind, stem
stone: water, beer, door, winter, stem
soil: soep, soort, noemen, tooien, heet
ground: stem, ring, worm, water, hard
earth: stem, worm, beer, blind, water
dust: worm, mist, water, wind, heet
smoke: smal, smelten, slim, zonde, roken
spark: elf, boot, bot, rust, stem
fire: water, wind, beer, winter, worm
light: heet, water, warm, blind, stem
shadow: blind, roken, wolf, stem, elf
weather: winter, beer, lopen, roken, week
fog: fijn, familie, gieten, ginds, golf
cloud: boot, stem, nest, elf, bot
rain: roken, beer, winter, heet, wind
snow: winter, roken, wind, beer, water
ice: beer, winter, olie, water, worm
frost: fijn, familie, gieten, ginds, knoop
chill: koken, komen, kammen, kool, slank
heat: water, wind, heet, stem, beer
hoarfrost: hoeden, hoek, hoorn, hoop, hoen
rainbow: winter, rinkelen, beer, drinken, roken
thunder: thans, rinkelen, roken, zonde, komen
current: last, top, brief, week, stem
drop: put, boot, lopen, heet, bot
foam: stem, worm, boot, elf, plank
dirt: droom, dorp, dansen, doden, dood
lake: olie, winter, dan, ski, zee
swamp: rinkelen, slim, slank, april, roken
moor: moeder, moeras, spoelen, mooi, hoeden
meadow: meester, mei, meedelen, meisje, roeien
forest: winter, wolf, beer, land, stem
hill: hart, winter, roken, boom, blind
elevation: eend, eens, einde, eindigen, aarde
mountain: winter, westen, augustus, baden, rinkelen
summit: worden, week, top, stem, rinkelen
cave: cirkel, midden, knoop, zonde, kammen
slope: stem, ring, week, heet, beer
source: elf, boot, bot, rand, letter
brook: hart, roken, kip, dan, rijk
river: winter, roken, beer, water, stem
shore: winter, roken, blind, boom, stem
coast: noorden, roeren, noemen, spoelen, boord
land: land, eland, wind, heet, water
sea: ski, winter, water, beer, worm
cove: cirkel, zonde, knoop, gieten, ginds
island: inham, ingaan, overal, roken, willen
flower: beer, winter, stem, worm, letter
grass: worm, beer, stem, winter, water
root: boot, stem, bot, elf, worm
tree: stem, worm, beer, ring, door
trunk: trappen, plank, buidel, rond, bot
bark: bitter, brij, bellen, bont, buidel
limb: leggen, stem, lip, heet, hemd
branch: stem, heet, lopen, week, elf
leaf: stem, worm, ring, heet, beer
birch: bakken, melken, borst, rinkelen, pakken
pine: winter, worm, beer, wolf, stem
willow: willen, roken, ingaan, rinkelen, dochter
fir: lopen, roken, bos, heet, stem
horn: roken, worm, heet, stem, pees
feather: meester, genezen, pijp, snede, redden
fur: roken, stem, oor, nut, heet
wing: ring, heet, roken, stem, boom
claw: klank, slim, plank, slapen, slank
tail: stem, ring, worm, heet, boot
egg: beer, nut, stem, worm, winter
nest: nest, stem, heet, mist, worm
lair: lief, luis, luiden, lachen, lui
animal: worm, stem, blind, beer, brief
flock: fijn, familie, buidel, afwassen, ginds
cow: worm, wolf, beer, roken, nut
bull: worm, roken, boom, wolf, beer
horse: beer, winter, worm, wolf, stem
sheep: weide, meester, heffen, beek, rinkelen
pig: worm, stem, beer, roken, nut
dog: worm, wolf, beer, teen, winter
