eye: face, altitude, gota, animal, ovo
ear: meter, face, rir, lar, anel
nose: ninho, nadar, novo, norte, nunca
mouth: face, animal, meter, altitude, grave
tooth: toalha, face, areia, oriente, maxila
tongue: tendão, tia, tardinha, tossir, tio
lip: face, meter, rir, mel, anel
cheek: cheio, cheiro, cheirar, peito, cego
face: face, altitude, meter, grave, animal
forehead: face, revolver, fatia, ferver, maxila
hair: face, animal, altitude, meter, grave
moustache: morrer, mestre, morder, murmurar, manga
beard: beber, beira, beijar, areia, ardor
chin: rir, atar, anel, mel, tom
jaw: meter, rir, anel, face, animal
throat: face, altitude, animal, meter, grave
neck: face, meter, altitude, animal, grave
nape: ninho, nadar, norte, nunca, narrativa
head: face, meter, altitude, animal, grave
back: face, logo, meter, altitude, rir
spine: maxila, face, prado, tacho, plano
belly: belo, fatia, bigode, robusto, revolver
navel: revolver, formiga, covil, novidade, pinheiro
bosom: bosque, ardor, rapaz, mosca, fatia
chest: face, meter, altitude, animal, grave
breast: breve, trepar, umbigo, tremer, ventre
shoulder: areia, face, altitude, doze, meter
arm: armadilha, meter, face, rir, atar
elbow: delgado, ovelha, bigode, colina, calma
hand: face, animal, meter, altitude, grave
palm: pista, pender, povo, pau, piso
finger: face, meter, altitude, animal, gota
fingernail: fresco, fumegar, fritar, fugir, felicidade
nail: ninho, nadar, nunca, novo, nós
toe: toalha, doze, oriente, proveito, noventa
foot: face, meter, animal, altitude, grave
heel: face, meter, anel, mel, rir
knee: gordo, bordo, bando, tia, gola
thigh: revolver, umbigo, rir, fatia, ardor
leg: meter, ler, face, rir, anel
body: face, altitude, animal, meter, formiga
skin: face, animal, altitude, odor, meter
blood: animal, altitude, face, odor, grave
vein: veia, cego, ave, neve, boneca
sinew: coser, gancho, ardor, revolver, tronco
bone: boneca, face, grave, altitude, animal
brain: face, animal, altitude, meter, grave
heart: face, animal, altitude, meter, grave
stomach: revolver, ardor, ferver, tomar, fatia
liver: lamber, lugar, largo, luz, liso
breath: breve, trepar, tremer, ardor, ferver
hunger: gordo, gata, bando, grosso, juntos
tear: cego, seio, recear, ardor, barrete
flavour: fluir, flor, ardor, revolver, cravo
odour: odor, ardor, ferver, vidro, edificar
sleep: altitude, face, animal, meter, odor
dream: rir, meter, face, altitude, animal
sky: altitude, meter, gota, rico, ovo
sun: altitude, meter, sol, rir, face
moon: altitude, meter, face, rir, animal
star: dar, logo, meter, face, lar
air: meter, animal, altitude, face, sol
wind: altitude, meter, animal, face, odor
wave: altitude, face, meter, grave, gota
water: altitude, animal, meter, odor, face
stone: grave, altitude, animal, face, boneca
soil: soar, areia, isso, fatia, doze
ground: meter, face, altitude, animal, grave
earth: animal, altitude, meter, face, grave
dust: odor, meter, face, animal, altitude
smoke: fatia, revolver, gordo, altitude, face
spark: meter, todo, face, altitude, formiga
fire: animal, altitude, face, meter, grave
light: meter, altitude, face, animal, odor
shadow: meter, face, animal, altitude, rir
weather: altitude, meter, logo, asa, rico
fog: fresco, fumo, fome, fio, fita
cloud: altitude, face, meter, animal, alto
rain: altitude, meter, face, odor, rir
snow: altitude, meter, logo, face, grave
ice: altitude, face, grave, meter, gota
frost: fresco, fumo, fome, frio, fita
chill: chocalhar, chifre, chamar, chapa, chefe
heat: altitude, odor, face, meter, animal
hoarfrost: ganso, nevoeiro, faminto, joelho, gordo
rainbow: bigode, revolver, fatia, redondo, pinheiro
thunder: revolver, rir, ardor, fatia, bigode
current: final, altitude, logo, meter, animal
drop: meter, face, final, altitude, erro
foam: formiga, regato, cozer, nuca, panela
dirt: dano, dizer, dente, dor, dormir
lake: gota, rico, erva, asa, rio
swamp: raposa, revolver, rapaz, bigode, fatia
moor: mocho, mostrar, morar, voar, rico
meadow: meio, fatia, outeiro, boneca, peito
forest: animal, altitude, meter, grave, face
hill: tom, altitude, animal, meter, rir
elevation: e, eles, altitude, asa, maxila
mountain: bigode, redondo, fatia, montanha, raposa
summit: maxila, revolver, prometer, meter, altitude
cave: caverna, cova, cinto, cruz, corno
slope: altitude, meter, face, grave, maxila
source: todo, face, meter, final, altitude
brook: tom, anel, rir, rico, mel
river: meter, altitude, gota, animal, grave
shore: altitude, meter, grave, animal, gota
coast: cozer, coxa, coisa, coleccionar, tronco
land: animal, meter, altitude, grave, face
sea: gota, asa, erva, altitude, onda
cove: cova, cinto, cruz, corno, cavar
island: isso, areia, madeira, costas, fatia
flower: animal, face, altitude, colorido, grave
grass: animal, altitude, meter, face, grave
root: meter, face, altitude, todo, erro
tree: face, altitude, animal, grave, meter
trunk: trazer, trinta, triste, trilho, três
bark: bando, bordo, bater, bom, borda
limb: limpo, limpar, maxila, prometer, borda
branch: meter, altitude, face, logo, erva
leaf: face, animal, altitude, meter, grave
birch: firme, bonito, tingir, rir, vestir
pine: altitude, grave, face, animal, gota
willow: areia, ardor, robusto, fatia, cessar
fir: firme, rir, ir, meter, erva
horn: meter, rir, face, anel, atar
feather: febre, fechar, fechado, cego, firme
fur: rir, animal, meter, lar, face
wing: meter, face, rir, revolver, gota
claw: revolver, fluir, gralha, ardor, cravo
tail: face, meter, altitude, animal, rir
egg: animal, ovo, face, altitude, meter
nest: meter, face, altitude, rir, ovo
lair: lugar, luz, largo, lamber, laje
animal: animal, altitude, face, grave, meter
flock: fresco, fita, fio, fumo, faca
