eye: face, ura, asta, animal, lung
ear: face, mare, lung, duce, nor
nose: nord, face, vase, zice, lume
mouth: face, lung, animal, chestie, duce
tooth: duce, muchie, face, atinge, buton
tongue: tuna, tremura, tub, tare, tendon
lip: lipi, chip, face, cap, lung
cheek: chestie, ureche, piele, pleca, martie
face: face, chip, aci, animal, duce
forehead: chestie, face, muchie, ureche, cutie
hair: face, animal, lung, chip, doctor
moustache: mesteca, munte, murdar, muncitor, minte
beard: bea, muchie, chestie, atinge, ureche
chin: apus, umed, elan, jos, ton
jaw: lung, apus, umed, duce, ton
throat: lung, face, chestie, animal, duce
neck: chestie, lung, face, chip, cap
nape: nord, zice, lume, sanie, haine
head: face, cap, chip, drag, animal
back: face, chip, drag, apus, pin
spine: spate, spori, spune, spumă, smulge
belly: chestie, martie, piele, ajunge, muchie
navel: rafturi, face, argint, mulge, apus
bosom: apus, baston, jos, ajunge, muchie
chest: chestie, lung, face, chip, animal
breast: chestie, lung, freca, trezi, ureche
shoulder: chestie, face, doar, buton, muchie
arm: armă, cap, aci, chip, apus
elbow: el, chestie, piele, ajunge, fluture
hand: face, chip, animal, lung, cap
palm: palmă, pieri, punte, pune, picta
finger: face, chip, pin, animal, drag
fingernail: furnică, fierbe, familie, fier, fereastră
nail: nord, vase, golf, face, zice
toe: doar, atinge, ura, poseda, asta
foot: face, lung, chip, cap, animal
heel: face, chip, lung, chestie, cap
knee: tendon, chestie, tuna, haine, golf
thigh: chestie, lung, golf, cutie, zice
leg: lega, cap, ton, lung, umed
body: face, apus, animal, ura, chema
skin: lung, face, animal, chip, duce
blood: lung, animal, corn, solid, face
vein: vechi, ureche, avea, piele, pleca
sinew: piele, linie, spinare, pleca, zice
bone: lung, face, animal, chip, duce
brain: lung, face, animal, chip, doctor
heart: face, lung, animal, chip, doctor
stomach: stomac, stingheri, stâng, sticlă, stofă
liver: lume, lins, lup, luci, latură
breath: freca, trezi, pleca, ureche, greu
hunger: haine, harnic, golf, gustos, zice
tear: ceai, piele, zice, ureche, pleca
flavour: fluture, flutura, slab, zice, gustos
odour: odată, odihnă, aduce, umed, odinioară
sleep: face, animal, profit, doctor, chip
dream: apus, doctor, umed, face, cale
sky: apus, asta, elan, chip, ura
sun: sunet, elan, sat, apus, chip
moon: sunet, chip, apus, face, doctor
star: dar, doctor, pin, face, asta
air: chip, animal, cal, drag, cap
wind: chip, cap, drag, lung, animal
wave: face, mie, ura, orb, chip
water: animal, chip, solid, corn, face
stone: animal, face, solid, corn, asta
soil: soare, soț, muchie, buton, atinge
ground: solid, face, animal, chip, cap
earth: animal, face, chip, apus, solid
dust: chip, face, lung, animal, corn
smoke: smulge, spate, zice, piele, slab
spark: aci, apus, crud, arc, chip
fire: animal, chip, face, doctor, cap
light: face, solid, chip, animal, cap
shadow: apus, doctor, face, chip, animal
weather: apus, chip, asta, doctor, ura
fog: fugi, foc, fier, fum, fuma
cloud: aci, chip, pod, crud, face
rain: profit, face, chip, cale, ton
snow: corn, chip, profit, umed, apus
ice: face, chip, asta, ura, animal
frost: fugi, fier, fost, foc, fum
chill: chiciură, unchi, achita, jilav, zice
heat: chip, face, solid, lung, cap
hoarfrost: stingheri, tremura, sfoară, ploaie, fierbe
rainbow: cutie, chestie, sunet, umblet, piele
thunder: zice, zvelt, martie, golf, apus
current: final, aci, merge, actualitate, curent
drop: aci, merge, chip, face, drag
foam: foame, foarte, coace, chema, ura
dirt: dori, dinte, dansa, dintre, dormi
lake: asta, bate, ura, elan, mare
swamp: umblet, apus, zice, spate, fluture
moor: moale, moarte, asta, ura, doar
meadow: piele, chestie, cutie, muchie, umblet
forest: animal, apus, chip, doctor, umed
hill: apus, chip, umed, animal, cal
elevation: asta, ura, aci, minte, chema
mountain: umblet, rafturi, frontieră, sunet, robust
summit: numi, apus, putere, rafturi, sunet
cave: cinci, cordon, cine, circular, curent
slope: face, profit, chip, merge, orb
source: merge, aci, face, final, crud
brook: apus, jos, cale, umed, mare
river: chip, apus, animal, face, cap
shore: mare, apus, animal, bate, chip
coast: coastă, coace, copt, coase, coadă
land: profit, animal, apus, umed, cap
sea: asta, ura, chema, sta, animal
cove: cinci, cordon, cine, circular, citi
island: muchie, atinge, robust, apus, buton
flower: animal, face, chip, corn, doctor
