eye: кость, мир, рана, ходить, и
ear: кость, рана, мир, ходить, и
nose: кость, рана, ходить, мир, я
mouth: кость, ходить, рана, мир, и
tooth: кость, или, рана, ходить, и
tongue: кость, рана, ходить, чай, или
lip: кость, рана, чай, мир, ходить
cheek: кость, ходить, рана, чай, или
face: кость, ходить, рана, мир, есть
forehead: кость, ходить, рана, мир, или
hair: кость, ходить, рана, мир, есть
moustache: кость, рана, ходить, мир, чай
beard: кость, рана, ходить, мир, и
chin: кость, рана, ходить, мир, чай
jaw: кость, рана, ходить, или, и
throat: кость, рана, ходить, мир, и
neck: кость, ходить, рана, мир, чай
nape: кость, рана, ходить, мир, и
head: кость, рана, ходить, мир, есть
back: кость, рана, ходить, и, мир
spine: кость, рана, мир, ива, чай
belly: кость, рана, ходить, мир, чай
navel: кость, рана, мир, ива, ходить
bosom: кость, рана, ходить, мир, чай
chest: кость, рана, ходить, мир, чай
breast: кость, рана, ходить, мир, чай
shoulder: кость, ходить, рана, есть, или
arm: кость, рана, мир, есть, ходить
elbow: кость, рана, ель, ходить, мир
hand: кость, рана, ходить, мир, и
palm: кость, рана, мир, ходить, чай
finger: кость, ходить, рана, мир, есть
fingernail: кость, рана, ходить, мир, или
nail: кость, рана, ходить, мир, и
toe: кость, рана, или, ходить, и
foot: кость, ходить, рана, мир, и
heel: кость, ходить, рана, есть, или
knee: кость, рана, ходить, мир, и
thigh: кость, рана, ходить, мир, и
leg: кость, рана, ходить, мир, и
body: кость, мир, рана, ходить, дом
skin: кость, рана, ходить, мир, есть
blood: кость, рана, ходить, мир, чай
vein: кость, рана, ходить, мир, и
sinew: кость, рана, ходить, мир, чай
bone: кость, рана, ходить, ива, мир
brain: кость, рана, мир, ходить, есть
heart: кость, рана, мир, ходить, и
stomach: кость, ходить, рана, мир, чай
liver: кость, рана, ходить, и, мир
breath: кость, ходить, рана, мир, и
hunger: кость, рана, ходить, мир, и
tear: кость, рана, ходить, чай, мир
flavour: кость, рана, ходить, чай, мир
odour: кость, рана, ходить, или, и
sleep: кость, ходить, рана, мир, есть
dream: кость, мир, рана, ходить, и
sky: кость, мир, рана, ходить, чай
sun: кость, рана, мир, ходить, чай
moon: кость, рана, мир, ходить, чай
star: кость, рана, мир, есть, чай
air: кость, мир, рана, чай, ива
wind: кость, рана, мир, ходить, чай
wave: кость, рана, ходить, мир, ива
water: кость, рана, ходить, мир, чай
stone: кость, рана, ходить, ива, есть
soil: кость, ходить, рана, или, и
ground: кость, ходить, рана, мир, чай
earth: кость, мир, рана, ходить, ива
dust: кость, рана, мир, ходить, чай
smoke: кость, рана, ходить, мир, чай
spark: кость, есть, мир, ива, чай
fire: кость, рана, мир, ходить, есть
light: кость, мир, рана, чай, ходить
shadow: кость, мир, рана, ходить, ива
weather: кость, рана, мир, ходить, чай
fog: кость, рана, ходить, мир, чай
cloud: кость, мир, рана, есть, чай
rain: кость, рана, ходить, мир, чай
snow: кость, рана, ходить, мир, или
ice: кость, рана, мир, чай, ходить
frost: кость, рана, ходить, мир, чай
chill: кость, рана, чай, ходить, мир
heat: кость, мир, рана, ива, ходить
hoarfrost: кость, рана, ходить, мир, чай
